ticker_name,n_iter,max_depth
A,50,None
AAL,100,None
AAPL,50,None
ABBV,100,None
ABNB,100,None
ABT,50,None
ACGL,100,None
ACN,50,None
ADBE,50,5
ADI,50,None
ADM,50,5
ADP,50,None
ADSK,50,None
AEE,50,None
AEP,100,None
AES,50,5
AFL,100,None
AIG,50,None
AIZ,50,None
AJG,100,None
AKAM,50,None
ALB,100,None
ALGN,50,None
ALK,50,None
ALL,100,5
ALLE,50,None
AMAT,100,None
AMCR,50,5
AMD,50,None
AME,100,None
AMGN,50,None
AMP,50,None
AMT,50,None
AMZN,100,None
ANET,100,None
ANSS,50,None
AON,100,None
AOS,100,5
APA,50,5
APD,100,None
APH,50,None
APTV,100,None
ARE,50,5
ATO,50,None
AVB,50,5
AVGO,100,None
AVY,50,None
AWK,100,None
AXON,50,None
AXP,50,None
AZO,50,None
BA,100,None
BAC,100,None
BALL,100,None
BAX,50,5
BBWI,100,None
BBY,100,5
BDX,100,5
BEN,100,5
BF-B,100,None
BG,100,5
BIIB,100,None
BIO,100,None
BK,50,5
BKNG,100,None
BKR,100,None
BLK,50,None
BMY,50,None
BR,100,None
BRK-B,50,None
BRO,50,None
BSX,100,None
BWA,50,None
BX,50,None
BXP,100,None
C,100,None
CAG,50,None
CAH,100,None
CARR,50,None
CAT,50,5
CB,50,5
CBOE,50,5
CBRE,50,5
CCI,50,None
CCL,50,None
CDNS,100,None
CDW,50,None
CE,100,5
CEG,50,None
CF,100,None
CFG,50,5
CHD,50,None
CHRW,50,5
CHTR,100,None
CI,50,None
CINF,50,None
CL,100,5
CLX,100,None
CMA,100,None
CMCSA,100,5
CME,100,None
CMG,50,None
CMI,50,5
CMS,50,None
CNC,50,None
CNP,50,None
COF,50,None
COO,100,None
COP,50,None
COR,50,None
COST,50,None
CPB,100,None
CPRT,50,None
CPT,100,None
CRL,100,None
CRM,50,None
CSCO,50,None
CSGP,100,None
CSX,50,5
CTAS,100,5
CTRA,50,5
CTSH,100,5
CTVA,100,5
CVS,50,None
CVX,50,5
CZR,100,None
D,50,None
DAL,50,None
DD,50,5
DE,100,5
DFS,50,None
DG,100,None
DGX,50,5
DHI,100,None
DHR,100,None
DIS,100,None
DLR,50,5
DLTR,50,5
DOV,100,5
DOW,100,5
DPZ,50,None
DRI,100,5
DTE,50,None
DUK,100,None
DVA,100,None
DVN,100,None
DXC,100,None
DXCM,50,None
EA,50,None
EBAY,100,None
ECL,100,None
ED,50,None
EFX,50,None
EG,100,None
EIX,50,5
EL,50,None
ELV,50,None
EMN,100,5
EMR,100,None
ENPH,100,None
EOG,100,5
EPAM,100,None
EQIX,100,5
EQR,100,None
EQT,50,None
